"host_id","host_name","host_url","host_total_listings_count","number_of_reviews","dirty_review_count","review_scores_cleanliness_clean","review_scores_rating_clean"
"627217",Seith,https://www.airbnb.com/users/show/627217,"32","516",54,4.41,4.33
"35524316",Akiko & Cindy,https://www.airbnb.com/users/show/35524316,"11","225",50,4.77,4.65
"277379",Agnes,https://www.airbnb.com/users/show/277379,"2","615",45,4.74,4.71
"8967",Shunichi,https://www.airbnb.com/users/show/8967,"1","550",43,3.75,4.23
"46978",Edward,https://www.airbnb.com/users/show/46978,"3","282",42,4.04,4.4
"17601262",Enrico,https://www.airbnb.com/users/show/17601262,"2","218",35,4.59,4.69
"9284163",Antonio,https://www.airbnb.com/users/show/9284163,"5","511",35,4.65,4.66
"31621291",Elisabeth,https://www.airbnb.com/users/show/31621291,"2","471",28,4.78,4.72
"59734",Luiz,https://www.airbnb.com/users/show/59734,"2","382",28,4.7,4.58
"79402",Christiana,https://www.airbnb.com/users/show/79402,"2","168",27,3.69,4.05
"9922972",Memo & Iso,https://www.airbnb.com/users/show/9922972,"6","236",26,4.36,4.44
"26405086",Sunny,https://www.airbnb.com/users/show/26405086,"8","117",23,4.67,4.56
"42488595",Tony,https://www.airbnb.com/users/show/42488595,"1","250",23,4.73,4.73
"44862166",Ed,https://www.airbnb.com/users/show/44862166,"1","347",22,4.38,4.39
"6133754",Trevor,https://www.airbnb.com/users/show/6133754,"1","299",22,4.54,4.35
"137814",Waldemar,https://www.airbnb.com/users/show/137814,"3","513",21,4.42,4.5
"11574065",Orit,https://www.airbnb.com/users/show/11574065,"21","124",20,4.95,4.95
"4291007",Suzette And Graham,https://www.airbnb.com/users/show/4291007,"26","49",20,4.22,4.41
"47351539",Jason,https://www.airbnb.com/users/show/47351539,"12","273",19,4.77,4.67
"710916",Adam,https://www.airbnb.com/users/show/710916,"2","394",19,4.75,4.82
"8265050",Jae,https://www.airbnb.com/users/show/8265050,"5","229",19,4.73,4.62
"10737943",David,https://www.airbnb.com/users/show/10737943,"7","336",18,4.71,4.65
"5577926",Lou,https://www.airbnb.com/users/show/5577926,"7","176",18,4.88,4.91
"14380456",Claude,https://www.airbnb.com/users/show/14380456,"2","567",17,4.45,4.75
"209460",Marylyn Palmer,https://www.airbnb.com/users/show/209460,"12","240",17,4.69,4.45
"5354888",Clifford,https://www.airbnb.com/users/show/5354888,"2","195",17,4.58,4.77
"8826175",Grover,https://www.airbnb.com/users/show/8826175,"6","201",17,4.58,4.6
"16209547",NoLimit,https://www.airbnb.com/users/show/16209547,"4","190",16,4.46,4.57
"17943391",Michael,https://www.airbnb.com/users/show/17943391,"6","345",16,4.32,4.76
"22480766",Dennis,https://www.airbnb.com/users/show/22480766,"1","236",16,4.76,4.57
"306739",Maya,https://www.airbnb.com/users/show/306739,"4","320",16,4.7,4.74
"468752",Casper,https://www.airbnb.com/users/show/468752,"2","429",16,4.51,4.6
"697442",Chris And Zach,https://www.airbnb.com/users/show/697442,"5","400",16,4.72,4.8
"9950152",Dawn & Vernon,https://www.airbnb.com/users/show/9950152,"1","292",16,4.84,4.82
"16351647",Carmia And Joe,https://www.airbnb.com/users/show/16351647,"1","289",15,4.9,4.92
"36903907",Moe,https://www.airbnb.com/users/show/36903907,"1","235",15,4.38,4.39
"417504",The Box House Hotel,https://www.airbnb.com/users/show/417504,"40","42",15,4.95,4.9
"11673798",Shelby,https://www.airbnb.com/users/show/11673798,"8","318",14,4.58,4.62
"14785032",Jake,https://www.airbnb.com/users/show/14785032,"15","277",14,4.43,4.51
"1698391",Pat,https://www.airbnb.com/users/show/1698391,"7","150",14,4.55,4.74
"19483885",Edgar,https://www.airbnb.com/users/show/19483885,"2","357",14,4.83,4.86
"21426910",Allen,https://www.airbnb.com/users/show/21426910,"2","299",14,4.65,4.68
"2598539",Carol,https://www.airbnb.com/users/show/2598539,"2","405",14,4.72,4.81
"2631234",Frank,https://www.airbnb.com/users/show/2631234,"1","304",14,4.73,4.79
"401696",Patricia,https://www.airbnb.com/users/show/401696,"2","350",14,4.83,4.82
"7137049",Susie,https://www.airbnb.com/users/show/7137049,"1","238",14,4.37,4.55
"732535",William,https://www.airbnb.com/users/show/732535,"3","299",14,4.88,4.83
"7755904",Og,https://www.airbnb.com/users/show/7755904,"6","50",14,4.41,4.48
"87183086",Elizabeth,https://www.airbnb.com/users/show/87183086,"3","490",14,4.6,4.62
"16245414",Shae,https://www.airbnb.com/users/show/16245414,"4","178",13,4.45,4.26
"264626",Ece,https://www.airbnb.com/users/show/264626,"16","180",13,4.75,4.69
"306545",Olivia,https://www.airbnb.com/users/show/306545,"5","215",13,3.94,4.3
"43977828",Mona And Wally,https://www.airbnb.com/users/show/43977828,"3"," NY,Creative Professional living in NYC for over 10 years. Love music",13,0.0,0.0
"4847926",Shelley,https://www.airbnb.com/users/show/4847926,"4","223",13,4.71,4.56
"5074654",Seth,https://www.airbnb.com/users/show/5074654,"5","617",13,4.78,4.8
"52196858",Danny,https://www.airbnb.com/users/show/52196858,"6","417",13,4.92,4.86
"55062858",Jennifer,https://www.airbnb.com/users/show/55062858,"2","240",13,4.18,4.35
"65258815",Mrs. Alabi,https://www.airbnb.com/users/show/65258815,"2","253",13,4.72,4.75
"7850260",Raymond,https://www.airbnb.com/users/show/7850260,"7","342",13,4.69,4.68
"873273",Christian & Carla,https://www.airbnb.com/users/show/873273,"13"," ""Extra pillows and blankets""",13,0.0,0.0
"9989761",Gaudhi,https://www.airbnb.com/users/show/9989761,"3","247",13,4.54,4.59
"11549078",Kristian,https://www.airbnb.com/users/show/11549078,"1"," ""Bathtub""",12,0.0,0.0
"127608",Chris,https://www.airbnb.com/users/show/127608,"1","325",12,4.94,4.93
"1512462",Evan & Maria,https://www.airbnb.com/users/show/1512462,"3","210",12,4.85,4.86
"16257970",Jackie,https://www.airbnb.com/users/show/16257970,"2","343",12,4.26,4.58
"292204",Blanca,https://www.airbnb.com/users/show/292204,"5","192",12,4.95,4.84
"3880974",Neil & Katie,https://www.airbnb.com/users/show/3880974,"2","237",12,4.45,4.42
"43719073",Nora,https://www.airbnb.com/users/show/43719073,"12","195",12,4.84,4.85
"44502437",Negra,https://www.airbnb.com/users/show/44502437,"4","169",12,4.99,4.94
"46901221",Sandy,https://www.airbnb.com/users/show/46901221,"3","204",12,4.5,4.51
"51501835",Jeniffer,https://www.airbnb.com/users/show/51501835,"213","9",12,4.89,5.0
"7748180",Ryan,https://www.airbnb.com/users/show/7748180,"2"," NY,I'm a 30 year old Canadian living in Brooklyn New York. Before moving to New York",12,,0.0
"124357",Valeria,https://www.airbnb.com/users/show/124357,"10","163",11,4.54,4.61
"1343630",Antonio,https://www.airbnb.com/users/show/1343630,"2","215",11,4.35,4.52
"1420715",Omar And Kareema,https://www.airbnb.com/users/show/1420715,"3","256",11,4.75,4.8
"14902860",Velma,https://www.airbnb.com/users/show/14902860,"11","51",11,4.39,4.27
"15271110",Josandra,https://www.airbnb.com/users/show/15271110,"1","431",11,4.75,4.77
"1655939",Joris,https://www.airbnb.com/users/show/1655939,"2","330",11,4.69,4.73
"2177462",Marc,https://www.airbnb.com/users/show/2177462,"3","137",11,4.63,4.69
"24009463",Vadim,https://www.airbnb.com/users/show/24009463,"3","97",11,4.7,4.89
"26597048",M. Elizabeth,https://www.airbnb.com/users/show/26597048,"3"," ""Private entrance""",11,0.0,0.0
"2675998",Alice,https://www.airbnb.com/users/show/2675998,"4","116",11,4.74,4.77
"29817997",Alberto Y Candela,https://www.airbnb.com/users/show/29817997,"3","236",11,4.84,4.73
"3388950",Amaya,https://www.airbnb.com/users/show/3388950,"7","107",11,4.42,4.63
"3571821",Andy & Friends,https://www.airbnb.com/users/show/3571821,"6","120",11,4.32,4.63
"42273",Dani,https://www.airbnb.com/users/show/42273,"3","479",11,4.96,4.93
"434987",Jennifer,https://www.airbnb.com/users/show/434987,"1","207",11,3.88,4.34
"50523735",Grace,https://www.airbnb.com/users/show/50523735,"2","149",11,4.55,4.63
"66269338",Peggy,https://www.airbnb.com/users/show/66269338,"3","91",11,4.13,4.41
"9501531",Andre,https://www.airbnb.com/users/show/9501531,"11","171",11,4.22,4.31
"1417757",Kwab,https://www.airbnb.com/users/show/1417757,"3", stove-top,10,0.0,0.0
"16677326",Alex And Zeena,https://www.airbnb.com/users/show/16677326,"25","406",10,4.53,4.45
"1895793",Eduardo,https://www.airbnb.com/users/show/1895793,"2","224",10,4.88,4.84
"2119276",Eran,https://www.airbnb.com/users/show/2119276,"48","17",10,4.67,4.8
"2520125",Katja And Jermaine,https://www.airbnb.com/users/show/2520125,"3","190",10,4.69,4.58
"25517905",Andreas,https://www.airbnb.com/users/show/25517905,"4","358",10,4.36,4.61
"276291",Simon,https://www.airbnb.com/users/show/276291,"2","340",10,4.95,4.87
"314582",Anthony,https://www.airbnb.com/users/show/314582,"4","273",10,4.83,4.75
"3363749",Alex,https://www.airbnb.com/users/show/3363749,"3","163",10,4.99,4.98
"3752523",Ari,https://www.airbnb.com/users/show/3752523,"2","205",10,4.46,4.55
"40828217",Anita,https://www.airbnb.com/users/show/40828217,"6","88",10,4.24,4.33
"4284154",Jennifer,https://www.airbnb.com/users/show/4284154,"2","304",10,4.75,4.76
"4417493",D,https://www.airbnb.com/users/show/4417493,"1"," ""Cooking basics""",10,0.0,0.0
"4562182",Florence,https://www.airbnb.com/users/show/4562182,"4","118",10,4.9,4.75
"47784768",Yemi,https://www.airbnb.com/users/show/47784768,"4","61",10,4.93,4.84
"49509847",Abhilasha Ashiv,https://www.airbnb.com/users/show/49509847,"1","133",10,4.2,4.41
"57165692",Charles,https://www.airbnb.com/users/show/57165692,"4","309",10,4.79,4.77
"5800619",Catia,https://www.airbnb.com/users/show/5800619,"2","260",10,4.94,4.93
